posisi,nama_perusahaan,nama_provinsi,jumlah_kuota,jumlah_terdaftar,competition_ratio
Internship Assistant - Data Analytic,PT Bank Rakyat Indonesia (Persero) Tbk,DKI JAKARTA,86,785,9.1279
Penyuluh KB,BKKBN Jawa Tengah,JAWA TENGAH,103,719,6.9806
Customer Development,PT Nutrifood Indonesia (Head Office Jakarta),DKI JAKARTA,65,719,11.0615
Penyuluh KB,BKKBN Jawa Timur,JAWA TIMUR,118,695,5.8898
Internship Assistant - Business Support,PT Bank Rakyat Indonesia (Persero) Tbk,DKI JAKARTA,68,692,10.1765
Bidang Operasional,Perkebunan Nusantara Iv,RIAU,15,559,37.2667
Penyuluh KB,BKKBN Jawa Barat,JAWA BARAT,96,554,5.7708
Back Office - Area Depok,Bank Syariah Indonesia,JAWA BARAT,50,554,11.08
Staf Administrasi Umum-Regional Bandung,Bank Syariah Indonesia,JAWA BARAT,20,528,26.4
Pelaksana administrasi,Bank Bsi Regional Office I Aceh,ACEH,16,514,32.125
HR Admin (Placement All Over Indonesia),Paragon Technology And Innovation,DKI JAKARTA,42,503,11.9762
Asisten Kurator Katalog Elektronik - D23,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,DKI JAKARTA,100,484,4.84
Internship Assistant,PT. Bank Rakyat Indonesia (Persero) Tbk,SUMATERA BARAT,15,454,30.2667
Internship Assistant,PT Bank Rakyat Indonesia (Persero) Tbk Regional Office Malang,JAWA TIMUR,16,417,26.0625
Administrasi,PT. Bank Rakyat Indonesia (Persero) Tbk Regional Office Pekanbaru,RIAU,10,412,41.2
Corporate General Management Staff 1,PT Bank Negara Indonesia (Persero) Tbk,DKI JAKARTA,50,370,7.4
Penyuluh KB,BKKBN Aceh,ACEH,61,344,5.6393
Fasilitator Pendamping,"PT Bank Btpn Syariah, Tbk Kc Padang",SUMATERA BARAT,38,337,8.8684
Administrasi,PT Pegadaian Kantor Wilayah Iii Palembang,SUMATERA SELATAN,7,330,47.1429
Corporate General Management Staff 2,PT Bank Negara Indonesia (Persero) Tbk,DKI JAKARTA,50,326,6.52
