posisi,jumlah_terdaftar
Penyuluh KB,5409
Fasilitator Pendamping,4054
Perawat,2297
Administrasi,1569
Internship Assistant,1427
Enumerator Kelautan dan Perikanan,1197
Staff Administrasi,823
Internship Assistant - Data Analytic,785
Customer Development,719
Internship Assistant - Business Support,695
Bidang Operasional,559
Back Office - Area Depok,554
Staf Administrasi Umum-Regional Bandung,528
DIGITAL SUPPORT STAFF,527
Pelaksana administrasi,514
HR Admin (Placement All Over Indonesia),503
Perekam Medis,486
Asisten Kurator Katalog Elektronik - D23,484
Bidan,428
Penyuluh Keluarga Berencana,414
